	LPS_TLR4_load	STING_agonist_potential	butyrate_producer	nucleotide_biosynthesis	radiation_sensitizer
SRR26425733	0.9253193701723113	0.6156565656565655	0.017509655377302438	0.7075014854426618	0.017509655377302438
SRR26425734	0.8492374848049508	0.5645375179577854	0.013067742291965962	0.6519256271411206	0.013067742291965962
SRR26425735	0.9442739305582198	0.5984270093995779	0.011317859198158451	0.6839439861883752	0.011317859198158451
SRR26425736	0.8496422991530302	0.5529068333196283	0.008510813255488858	0.6482320532850917	0.008510813255488858
SRR26425737	0.8085860575029539	0.5077786530129972	0.03406853091768412	0.5957660496258369	0.03406853091768412
SRR26425738	0.7444471269917915	0.4757363592467407	0.01102526959600837	0.5587236439723161	0.01102526959600837
SRR26425739	0.8384458077709612	0.5316973415132924	0.026812088161781412	0.6217450579413768	0.026812088161781412
SRR26425740	0.842760428041057	0.5526752566062458	0.0346145446604062	0.6454902817209	0.0346145446604062
SRR26425741	0.9018454959770438	0.5603612220784335	0.009790131097732515	0.6536825521858998	0.009790131097732515
SRR26425742	0.8789007532489032	0.5515906519879701	0.008194685870374968	0.6456391579063543	0.008194685870374968
SRR26425743	0.7515014727822195	0.4862400061206533	0.003978424696836388	0.5436785126812287	0.003978424696836388
SRR26425744	0.9102856550365492	0.5706931411685415	0.0	0.6623127170926435	0.0
SRR26425745	0.9038640219762464	0.5952229942635533	0.006700937222267108	0.6696624787913064	0.006700937222267108
SRR26425746	0.9187981547230878	0.5670748496485761	0.014527932758495761	0.6577349467429896	0.014527932758495761
SRR26425747	0.7383002620741295	0.46739049045301384	0.02208910520404343	0.5555035567203295	0.02208910520404343
SRR26425748	0.8600437743190663	0.5419139105058366	0.0048638132295719845	0.6221789883268484	0.0048638132295719845
SRR26425749	0.8701894786395199	0.5519153818994939	0.0	0.6419295045310109	0.0
SRR26425750	0.9108495030761949	0.5666055371509702	0.0044959772834831995	0.6528159015617606	0.0044959772834831995
SRR26425751	0.9462947982977525	0.5666408750395667	0.0	0.6249182288186261	0.0
SRR26425752	0.8114658587741785	0.5165617960071467	0.011516352054688107	0.6045327429503612	0.011516352054688107
SRR26425753	0.9558514365802384	0.617729502452698	0.0	0.6774351786965662	0.0
SRR26425754	0.7556468172484601	0.46875116669777867	0.018200485346275903	0.5507933544894531	0.018200485346275903
SRR26425755	0.928141072740632	0.5824099926524614	0.0	0.6721528288023512	0.0
SRR26425756	0.8234644699687904	0.5252998874758498	0.0017409396828092821	0.6109604891615888	0.0017409396828092821
SRR26425757	0.7630293753189009	0.48716378744806466	0.004592171441067133	0.5617902179459144	0.004592171441067133
SRR26425758	0.8483303814419629	0.5339798695408009	0.007948507494924187	0.620346451250594	0.007948507494924187
SRR26425759	0.6457483270768729	0.42869966658117464	0.0	0.4819044510247382	0.0
SRR26425760	0.9023706273489448	0.5922289679098005	0.01849282066107738	0.6779358196010409	0.01849282066107738
SRR26425761	0.8239585784890562	0.5195575429512826	0.08896210873146623	0.6073899741115557	0.08896210873146623
SRR26425762	0.9866114357570827	0.6809527331903247	0.0008506546342185073	0.75970855832532	0.0008506546342185073
SRR26425763	0.8043217286914767	0.5149659863945578	0.0	0.5962585034013606	0.0
SRR26425764	0.7881679389312977	0.5468511450381679	0.15171755725190839	0.6316793893129771	0.15171755725190839
SRR26425765	0.08326967150496563	0.1402924806286151	0.0	0.23640729018880283	0.0
SRR26425766	0.7587585986242202	0.49571268597024476	0.07174852023676212	0.5643417053271477	0.07174852023676212
SRR26425767	0.9590044210918431	0.5836713687739558	0.0016517826508905902	0.6801599827469587	0.0016517826508905902
SRR26425768	0.7816541783992746	0.49797642342385334	0.005345296616236338	0.5713931179306065	0.005345296616236338
SRR26425769	0.6033922771562612	0.4191988451822446	0.028870443883074703	0.4517502706604113	0.028870443883074703
SRR26425770	0.8566010838077658	0.5372049456725365	0.0016357638286011934	0.6165312668488243	0.0016357638286011934
SRR26425771	0.8755133901765342	0.5416308394379729	0.013990632880989552	0.6288387174252431	0.013990632880989552
SRR26425772	0.939869556536593	0.5793242673647314	0.0009816536149255717	0.6682909244182177	0.0009816536149255717
SRR26425773	0.9225806451612903	0.5603225806451613	0.0	0.657258064516129	0.0
SRR26425774	0.9814757957220346	0.6418380923139904	0.0	0.7406099682734623	0.0
SRR26425775	0.7342931937172775	0.5136125654450263	0.0549738219895288	0.57478184991274	0.0549738219895288
SRR26425776	0.9330181245074862	0.5717888100866824	0.02364066193853428	0.6401891252955082	0.02364066193853428
SRR26425777	0.9846723044397463	0.6639006342494713	0.0	0.7604651162790697	0.0
SRR26425778	0.7149209486166007	0.5171936758893281	0.16897233201581027	0.6088068181818181	0.16897233201581027
SRR26425779	0.9401709401709402	0.5794871794871794	0.0	0.6794871794871795	0.0
SRR26425780	0.8822336511122262	0.5544600546356693	0.01899704521380387	0.6339828287896525	0.01899704521380387
SRR26425781	0.9307958477508651	0.5519031141868512	0.0	0.6384083044982699	0.0
SRR26425782	0.9162717219589257	0.5625592417061611	0.0	0.6524486571879936	0.0
SRR26425783	0.9252259654889072	0.5576828266228431	0.0	0.6511092851273623	0.0
SRR26425784	0.9302214242968282	0.5949132256134051	0.0	0.6844404548174744	0.0
SRR26425785	0.9077844919514549	0.6094382098546015	0.0012356336430880686	0.7044889046869447	0.0012356336430880686
SRR26425786	0.9316066425203307	0.6309259892024877	0.0009635754800792728	0.7248725483496207	0.0009635754800792728
