Pathway	ES	NES	Nominal p	FDR q	Tag (%)	Gene (%)	Lead_genes
G2-M Checkpoint	0.3551369553488285	1.82545185592654	0.001	0.0157321330921633	60/173	20.42%	TMPO;TENT4A;WRN;STAG1;LBR;CUL3;BUB1;CDK1;TRA2B;CDC7;FANCC;CDC6;G3BP1;NUP98;KNL1;SMC4;SLC12A2;PRPF4B;CHEK1;POLQ;RAD23B;BARD1;DBF4;PRC1;ORC5;CENPE;NUSAP1;CCNF;SMAD3;MCM3;AURKB;CHAF1A;TOP2A;MAPK14;MAP3K20;NDC80;NSD2;RPS6KA5;NUP50;EXO1;TTK;STMN1;MAD2L1;NASP;STIL;MTF2;PDS5B;SS18;MCM6;CDKN1B;PTTG1;LMNB1;POLA2;POLE;GSPT1;EZH2;RAD21;CUL5;DTYMK;RACGAP1
E2F Targets	0.3531251516426454	1.8236223532250229	0.001	0.0078660665460816	70/176	26.43%	TMPO;STAG1;LBR;TFRC;MMS22L;HELLS;PAICS;POLD3;NBN;CDK1;TRA2B;ATAD2;CNOT9;RFC1;ORC2;SMC4;CHEK1;BARD1;CENPE;RANBP1;TIMELESS;MCM3;AURKB;SHMT1;EED;GINS1;TOP2A;ANP32E;RAD1;PNN;IPO7;TIPIN;STMN1;MAD2L1;NASP;DUT;CDKN1A;PDS5B;MCM6;SMC6;DEK;PMS2;CDKN1B;LUC7L3;PTTG1;BRCA1;LMNB1;POLA2;POLE;LIG1;GSPT1;NCAPD2;EZH2;RAD21;NUP205;RAD50;RACGAP1;CIT;NUP107;CBX5;UNG;HMGB2;XPO1;MCM4;CCNE1;HMGA1;MRE11;PSMC3IP;PSIP1;GINS4
Mitotic Spindle	0.3034645374947739	1.580975605454931	0.001	0.0456540332870623	65/184	21.42%	RICTOR;FGD4;PKD2;RASA1;PCM1;BUB1;SSH2;CENPJ;CDK1;NF1;CLASP1;CEP192;MID1;RFC1;ARHGEF12;TLK1;ECT2;CDK5RAP2;RAPGEF6;SMC4;NEDD9;RAPGEF5;PRC1;ARHGAP29;CEP57;CENPE;TUBGCP3;NUSAP1;PPP4R2;OPHN1;ARHGEF11;TOP2A;CKAP5;PDLIM5;DOCK4;KIF1B;DLG1;CDC42;NDC80;TTK;RHOF;TRIO;WASF2;ARHGEF3;ITSN1;RAB3GAP1;CDC42BPA;MYO1E;CEP72;ARFGEF1;DOCK2;STK38L;RALBP1;CD2AP;BCL2L11;EPB41L2;ALS2;LMNB1;RASA2;CLIP2;RACGAP1;HOOK3;RANBP9;ARHGEF7;LRPPRC
UV Response Dn	0.2689800822869165	1.3217418887920278	0.0391752577319587	0.3144113069448534	41/123	23.59%	TENT4A;ADD3;SCAF8;MET;PRDM2;PRKCE;NFIB;ATXN1;PTEN;APBB2;NFKB1;KALRN;SFMBT1;ATP2B1;NR1D2;NEK7;NIPBL;SMAD3;PHF3;PRKCA;PDLIM5;MAPK14;DLG1;SLC22A18;PIK3R3;TGFBR3;PDGFRB;CDC42BPA;CDKN1B;KCNMA1;PLCB4;ANXA4;RASA2;MRPS31;ADGRL2;MAP2K5;ZMIZ1;PEX14;PPARG;SIPA1L1;TFPI
heme Metabolism	0.2600305258500917	1.3204898883932663	0.0231578947368421	0.2531948008244647	60/144	29.55%	XPO7;TFRC;MOCOS;LPIN2;CIR1;ARHGEF12;TCEA1;CAST;SLC25A37;ADD1;P4HA2;GCLC;SLC11A2;ERMAP;BLVRB;NEK7;ADIPOR1;EPOR;KLF3;GAPVD1;RBM5;CTSB;RNF19A;ATG4A;ALAD;FBXO9;UROS;PPP2R5B;EIF2AK1;DMTN;ELL2;AGPAT4;EZH1;RCL1;FBXO7;IGSF3;SLC30A10;TRAK2;PDZK1IP1;ATP6V0A1;MARK3;MFHAS1;RNF123;SDCBP;MOSPD1;DCAF10;CDC27;YPEL5;E2F2;HEBP1;PICALM;NUDT4;CLIC2;FECH;MAP2K3;MGST3;SEC14L1;BTRC;CTSE;SLC25A38
Protein Secretion	0.2843112220365189	1.284620684948596	0.0870488322717622	0.2740784363213169	28/82	25.17%	STX12;RAB2A;IGF2R;TOM1L1;VPS45;ATP6V1H;TPD52;COPB2;VPS4B;TSPAN8;SGMS1;CLTC;EGFR;KIF1B;ANP32E;COG2;AP3B1;ATP1A1;MON2;ARFGEF1;GOSR2;GALC;YIPF6;ABCA1;USO1;TMED2;BET1;COPB1
PI3K/AKT/mTOR  Signaling	0.2755585535848254	1.272954791585387	0.0946236559139784	0.2552836050501469	25/86	17.43%	MAPK9;CDK1;MAPKAP1;TBK1;NOD1;PTEN;PIKFYVE;CAB39L;CLTC;ITPR2;EGFR;PTPN11;RAF1;PPP2R1B;CAB39;PIK3R3;EIF4E;PDK1;CDKN1A;UBE2D3;TNFRSF1A;ACTR3;CDKN1B;THEM4;MAP2K6
Interferon Alpha Response	0.239057382972688	1.0860461409055333	0.2954048140043763	0.788226138897068	34/85	33.88%	IRF1;CD74;IL7;PLSCR1;UBE2L6;TRIM25;PARP12;IRF2;TRIM5;CASP8;IFIH1;PARP9;PARP14;CD47;IL15;ADAR;CNP;DDX60;HERC6;BATF2;CMTR1;TENT5A;NCOA7;SLC25A28;NUB1;LAP3;SP110;TRAFD1;IFIT2;IFI44L;RIPK2;SAMD9L;PSMA3;CASP1
Apoptosis	0.2180678820812647	1.0839184612293402	0.2887029288702928	0.7092827063381895	36/134	20.56%	IFNGR1;IRF1;DAP;IGF2R;VDAC2;ETF1;CASP4;TNFSF10;PTK2;PAK1;ADD1;IL6;NEDD9;CD44;CCND2;RNASEL;SOD2;TOP2A;CASP9;SATB1;GSTM1;TGFBR3;CASP8;PDGFRB;CDKN1A;DAP3;PPP3R1;PPP2R5B;CDKN1B;CREBBP;BCL2L11;BRCA1;IL1B;DNAJC3;PSEN1;HMOX1
IL-6/JAK/STAT3 Signaling	0.2506287453136816	1.0656244832006012	0.3238866396761133	0.7064653177975013	13/64	11.45%	IFNGR1;IRF1;IL7;IL6;REG1A;IL13RA1;STAT1;CD44;CXCL1;CD9;CXCL3;IL1R2;PTPN11
